891234,1,65,2,58,3,45,4,60,5,50,12,48,42,42,46,60
783461,3,65,1,58,2,45,125,60,137,68,126,100,57,77,4,60
321521,3,40,2,35,217,21,1,28,52,88,46,63,27,24,224,55
673214,1,63,2,68,3,26,218,100,13,75,126,89,565,77,81,75
656786,569,23,221,52,218,35,52,34,1,53,2,24,3,64,12,42
123455,4,88,10,56,8,45,1,44,42,97,125,35,2,56,3,64
876743,3,76,2,67,126,66,4,45,1,76,217,78,125,76,569,61
348743,218,100,11,52,1,63,2,53,3,64,52,21,137,32,4,63
532891,2,53,1,0,3,0,13,22,52,27,27,54,46,29,8,52
974373,218,0,1,52,2,63,3,68,8,44,46,63,27,57,106,87
